Opponent (bot),Dave's Player
S,R
R,R
R,R
P,S
P,R
S,R
R,R
R,S
P,P
P,S
S,P
R,S
R,R
P,S
P,S
S,S
R,S
R,P
P,P
P,P
S,S
R,P
R,R
P,S
P,P
S,P
R,R
R,R
P,P
P,R
S,S
R,R
R,S
P,R
P,S
S,R
R,S
R,P
P,R
P,R
S,S
R,R
R,P
P,P
P,P
S,R
R,R
R,P
P,P
P,P
S,S
R,P
R,S
P,R
P,P
S,S
R,R
R,R
P,P
P,P
S,P
R,P
R,S
P,R
P,R
S,P
R,P
R,R
P,S
P,R
S,P
R,S
R,R
P,S
P,S
S,R
R,P
R,R
P,R
P,P
S,S
R,R
R,S
P,R
P,R
S,P
R,S
R,P
P,R
P,S
S,R
R,P
R,R
P,S
P,P
S,S
R,S
R,S
P,R
P,S
S,R
R,S
R,P
P,S
P,P
S,P
R,P
R,R
P,S
P,R
S,P
R,P
R,R
P,P
P,P
S,R
R,S
R,S
P,P
P,P
S,P
R,R
R,R
P,S
P,R
S,S
R,R
R,S
P,S
P,P
S,P
R,P
R,S
P,P
P,S
S,P
R,S
R,S
P,P
P,S
S,R
R,P
R,P
P,R
P,S
S,P
R,P
R,S
P,P
P,S
S,P
R,S
R,R
P,P
P,R
S,P
R,R
R,R
P,S
P,S
S,P
R,P
R,P
P,P
P,P
S,P
R,P
R,R
P,S
P,S
S,P
R,R
R,S
P,P
P,S
S,P
R,S
R,R
P,P
P,S
S,R
R,R
R,P
P,S
P,S
S,P
R,R
R,R
P,S
P,R
S,S
R,R
R,P
P,P
P,S
S,R
R,S
R,R
P,S
P,P
S,R
R,R
R,P
P,R
P,R
S,S
R,P
R,R
P,S
P,S
S,S
R,P
R,S
P,R
P,S
S,S
R,P
R,P
P,S
P,P
S,R
R,S
R,R
P,R
P,R
S,P
R,R
R,S
P,P
P,S
S,S
R,S
R,S
P,R
P,R
S,R
R,R
R,P
P,S
P,P
S,P
R,P
R,R
P,R
P,P
S,P
R,R
R,P
P,S
P,P
S,P
R,S
R,P
P,P
P,P
S,P
R,S
R,S
P,R
P,S
S,S
R,R
R,S
P,S
P,R
S,P
R,R
R,S
P,S
P,R
S,R
R,R
R,S
P,S
P,R
S,S
R,R
R,R
P,P
P,R
S,S
R,S
R,R
P,R
P,S
S,R
R,S
R,P
P,R
P,R
S,R
R,R
R,R
P,P
P,P
S,S
R,S
R,P
P,R
P,S
S,P
R,R
R,R
P,R
P,R
S,P
R,R
R,S
P,P
P,S
S,R
R,R
R,P
P,P
P,P
S,R
R,P
R,P
P,R
P,S
S,R
R,S
R,S
P,R
P,S
S,P
R,S
R,P
P,P
P,P
S,P
R,S
R,R
P,R
P,S
S,S
R,R
R,P
P,P
P,P
S,R
R,P
R,R
P,R
P,R
S,P
R,P
R,P
P,P
P,S
S,R
R,P
R,S
P,S
P,P
S,S
R,S
R,S
P,S
P,P
S,P
R,R
R,S
P,P
P,P
S,P
R,R
R,P
P,R
P,P
S,S
R,S
R,R
P,S
P,R
S,S
R,P
R,R
P,R
P,S
S,S
R,S
R,S
P,P
P,P
S,R
R,S
R,P
P,P
P,P
S,R
R,P
R,R
P,P
P,S
S,S
R,R
R,P
P,S
P,P
S,P
R,P
R,S
P,S
P,R
S,P
R,P
R,P
P,P
P,P
S,P
R,P
R,S
P,S
P,P
S,P
R,P
R,P
P,S
P,R
S,S
R,R
R,R
P,R
P,R
S,P
R,S
R,R
P,R
P,S
S,P
R,S
R,S
P,R
P,S
S,P
R,S
R,P
P,S
P,P
S,R
R,R
R,S
P,R
P,R
S,R
R,P
R,S
P,R
P,S
S,P
R,P
R,P
P,S
P,P
S,P
R,R
R,R
P,P
P,S
S,S
R,S
R,R
P,S
P,S
S,P
R,P
R,P
P,P
P,S
S,P
R,R
R,S
P,P
P,R
S,R
R,R
R,R
P,P
P,P
S,P
R,R
R,P
P,P
P,S
S,R
R,P
R,P
P,P
P,P
S,S
R,S
R,R
P,R
P,P
S,P
R,R
R,R
P,R
P,S
S,S
R,P
R,P
P,R
P,P
S,R
R,R
R,R
P,S
P,R
S,S
R,P
R,P
P,S
P,R
S,P
R,R
R,R
P,R
P,S
S,R
R,R
R,R
P,R
P,S
S,S
R,R
R,P
P,S
P,R
S,P
R,R
R,S
P,P
P,P
S,S
R,P
R,R
P,P
P,P
S,S
R,R
R,R
P,P
P,P
S,P
R,P
R,R
P,P
P,R
S,S
R,R
R,P
P,S
P,R
S,S
R,S
R,R
P,R
P,R
S,R
R,P
R,R
P,R
P,S
S,P
R,R
R,S
P,R
P,S
S,R
R,P
R,P
P,R
P,R
S,R
R,R
R,S
P,R
P,R
S,R
R,R
R,R
P,R
P,S
S,S
R,S
R,R
P,S
P,R
S,R
R,S
R,P
P,R
P,S
S,S
R,P
R,S
P,P
P,R
S,S
R,S
R,S
P,S
P,R
S,R
R,P
R,P
P,S
P,S
S,P
R,S
R,P
P,S
P,P
S,P
R,R
R,R
P,S
P,P
S,P
R,S
R,R
P,R
P,S
S,S
R,P
R,R
P,S
P,P
S,S
R,R
R,P
P,R
P,P
S,R
R,P
R,R
P,R
P,P
S,S
R,P
R,P
P,R
P,S
S,P
R,P
R,S
P,R
P,S
S,S
R,P
R,S
P,R
P,R
S,R
R,R
R,R
P,S
P,P
S,S
R,R
R,P
P,P
P,S
S,S
R,P
R,S
P,S
P,S
S,R
R,R
R,R
P,R
P,S
S,R
R,S
R,R
P,S
P,S
S,R
R,R
R,R
P,S
P,S
S,P
R,S
R,S
P,R
P,S
S,R
R,R
R,R
P,R
P,P
S,R
R,S
R,P
P,R
P,S
S,P
R,R
R,S
P,P
P,P
S,P
R,P
R,P
P,S
P,S
S,R
R,S
R,P
P,R
P,S
S,S
R,R
R,P
P,S
P,R
S,S
R,S
R,S
P,R
P,S
S,P
R,S
R,S
P,P
P,S
S,P
R,R
R,S
P,S
P,P
S,P
R,P
R,P
P,S
P,R
S,R
R,P
R,S
P,R
P,R
S,P
R,R
R,R
P,R
P,P
S,R
R,S
R,P
P,R
P,R
S,S
R,P
R,S
P,P
P,S
S,P
R,R
R,P
P,S
P,P
S,S
R,P
R,S
P,S
P,S
S,S
R,R
R,P
P,S
P,R
S,P
R,R
R,R
P,P
P,P
S,P
R,P
R,R
P,R
P,R
S,S
R,S
R,R
P,R
P,R
S,P
R,S
R,P
P,P
P,P
S,P
R,P
R,P
P,R
P,R
S,R
R,P
R,S
P,R
P,P
S,P
R,P
R,P
P,S
P,R
S,S
R,R
R,P
P,R
P,P
S,S
R,S
R,R
P,R
P,R
S,P
R,S
R,P
P,R
P,R
S,S
R,S
R,S
P,P
P,P
S,S
R,P
R,P
P,P
P,S
S,R
R,R
R,P
P,R
P,R
S,P
R,R
R,R
P,S
P,S
S,P
R,R
R,S
P,R
P,R
S,P
R,S
R,P
P,R
P,P
S,R
R,P
R,S
P,R
P,P
S,S
R,P
R,P
P,P
P,S
S,R
R,R
R,R
P,P
P,R
S,P
R,S
R,R
P,S
P,P
S,R
R,R
R,S
P,S
P,S
S,S
R,P
R,R
P,S
P,R
S,S
R,P
R,R
P,S
P,P
S,P
R,S
R,P
P,R
P,S
S,S
R,P
R,R
P,R
P,P
S,R
R,R
R,R
P,S
P,P
S,S
R,S
R,P
P,P
P,R
S,S
R,P
R,P
P,P
P,P
S,P
R,R
R,P
P,R
P,P
S,S
R,R
R,S
P,S
P,P
S,R
R,R
R,S
P,P
P,S
S,P
R,S
R,R
P,S
P,R
S,P
R,R
R,R
P,R
P,P
S,P
R,R
R,R
P,P
P,P
S,S
R,R
R,P
P,R
P,R
S,P
R,R
R,P
P,R
P,R
S,R
R,P
R,P
P,S
P,P
S,S
R,P
R,R
P,S
P,S
S,R
R,S
R,S
P,R
P,P
S,P
R,R
R,R
P,S
P,P
S,R
R,P
R,R
P,R
P,S
S,S
R,S
R,P
P,S
P,S
S,S
R,R
R,R
P,P
P,P
S,R
R,S
R,P
P,S
P,R
S,R
R,S
R,S
P,R
P,P
S,P
R,R
R,S
P,P
P,R
S,S
R,R
R,P
P,R
P,P
S,R
R,P
R,S
P,S
P,S
S,R
R,P
R,R
P,P
P,P
S,S
R,S
R,P
P,R
P,R
S,R
R,S
R,S
P,R
P,R
S,R
R,P
R,S
P,P
P,S
S,P
R,S
R,S
P,P
P,R
S,S
R,S
R,S
P,P
P,P
S,R
R,S
R,S
P,R
P,S
S,R
R,P
R,S
P,R
P,S
S,R
R,R
R,R
P,R
P,S
S,P
R,R
R,R
P,R
P,P
S,P
R,S
R,P
P,S
P,S
S,P
R,P
R,S
P,R
P,P
S,P
R,S
R,S
P,R
P,S
S,R
R,R
R,P
P,P
P,S
S,S
R,P
R,P
P,R
P,P
S,R
R,P
R,S
P,R
P,P
S,R
R,S
R,R
P,R
P,P
S,P
R,R
R,S
P,R
P,P
S,P
R,R
R,P
P,P
P,S
S,S
R,P
R,R
P,R
P,P
S,P
R,R
R,S
P,R
P,P
S,P
R,P
R,S
P,P
P,S
S,R
R,S
R,S
P,S
P,S
S,S
R,P
R,R
P,R
P,P
S,R
R,P
R,P
P,P
P,P
S,R
R,S
R,S
P,R
P,S
S,R
R,R
R,P
P,R
P,S
S,S
R,S
R,R
P,P
P,R
S,S
R,R
R,P
P,P
P,S
S,P
R,S
R,P
P,R
P,P
S,P
R,S
R,P
P,R
P,P
S,R
R,S
R,P
P,P
P,P
S,S
R,S
R,S
P,S
P,P
S,R
R,R
R,R
P,P
P,R
S,R
R,R
R,P
P,P
P,R
S,P
R,P
R,R
P,R
P,P
S,R
R,S
R,P
P,R
P,S
S,P
R,S
R,R
P,P
P,S
S,P
R,R
R,P
P,R
P,S
S,P
R,R
R,S
P,S
P,S
S,P
R,S
R,S
P,P
P,R
S,R
R,P
R,R
P,P
P,P
S,P
R,P
R,P
P,S
P,S
S,S
R,R
R,P
P,S
P,S
S,R
R,P
R,P
P,P
P,S
S,R
R,P
R,R
P,S
P,P
S,P
R,R
R,P
P,S
P,S
S,S
R,S
R,P
P,R
P,S
S,P
R,P
R,P
P,P
P,R
S,P
R,P
R,P
P,R
P,S
S,R
R,S
R,S
P,S
P,R
S,S
R,P
R,S
P,S
P,S
S,S
R,S
R,P
P,P
P,P
S,S
R,P
R,S
P,R
P,S
S,P
R,S
R,S
P,R
P,R
S,R
R,S
R,R
P,S
P,R
S,R
R,S
R,R
P,S
P,P
S,S
R,S
R,P
P,P
P,R
S,S
R,R
R,P
P,S
P,R
S,R
R,P
R,P
P,R
P,P
S,P
R,R
R,R
P,R
P,P
S,P
R,P
R,P
P,P
P,R
S,S
R,S
R,R
P,P
P,S
S,S
R,P
R,S
P,R
P,S
S,R
R,P
R,P
P,P
P,R
S,P
R,P
R,S
P,R
P,P
S,P
R,P
R,P
P,S
P,R
S,P
R,P
R,S
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,P
R,R
R,R
P,S
P,P
S,R
R,P
R,S
P,S
P,R
S,R
R,S
R,S
P,S
P,R
S,S
R,R
R,S
P,S
P,S
S,R
R,P
R,P
P,R
P,S
S,P
R,P
R,S
P,P
P,R
S,S
R,S
R,R
P,S
P,S
S,S
R,P
R,P
P,S
P,P
S,S
R,R
R,R
P,R
P,P
S,P
R,R
R,S
P,P
P,R
S,R
R,S
R,S
P,P
P,P
S,R
R,R
R,S
P,P
P,S
S,S
R,R
R,S
P,S
P,P
S,R
R,R
R,R
P,R
P,S
S,S
R,S
R,P
P,S
P,R
S,S
R,P
R,R
P,S
P,S
S,R
R,R
R,P
P,R
P,S
S,S
R,R
R,R
P,S
P,R
S,S
R,S
R,R
P,S
P,R
S,S
R,P
R,R
P,R
P,R
S,S
R,P
R,P
P,R
P,P
S,R
R,S
R,S
P,R
P,R
S,S
R,R
R,R
P,P
P,R
S,P
R,R
R,P
P,R
P,S
S,R
R,R
R,S
P,P
P,S
S,P
R,R
R,S
P,R
P,S
S,S
R,P
R,S
P,R
P,S
S,S
R,S
R,R
P,S
P,P
S,R
R,R
R,P
P,S
P,P
S,S
R,P
R,P
P,S
P,S
S,P
R,R
R,R
P,R
P,R
S,R
R,S
R,R
P,P
P,S
S,P
R,S
R,S
P,R
P,S
S,R
R,P
R,S
