Opponent (bot),Dave's Player
R,S
R,S
R,P
S,S
R,P
S,S
R,P
S,S
R,P
S,R
P,S
R,P
S,R
P,S
R,P
S,S
R,S
R,R
P,P
S,P
S,P
S,S
R,P
S,R
P,P
S,R
P,S
R,S
R,R
P,S
R,P
S,P
S,P
S,P
S,S
R,R
P,P
S,R
P,S
R,P
S,S
R,P
S,R
P,P
S,S
R,P
S,S
R,R
P,R
P,S
R,P
S,R
P,S
R,S
R,P
S,R
P,P
S,P
S,R
P,S
R,P
S,R
P,R
P,S
R,R
P,R
P,P
S,R
P,R
P,S
R,R
P,S
R,R
P,S
R,P
S,P
S,P
S,S
R,P
S,P
S,S
R,R
P,P
S,P
S,S
R,R
P,S
R,R
P,P
S,S
R,S
R,R
P,S
R,P
S,P
S,P
S,S
R,S
R,P
S,P
S,R
P,S
R,P
S,R
P,R
P,R
P,R
P,S
R,S
R,S
R,P
S,R
P,S
R,P
S,S
R,S
R,P
S,S
R,P
S,P
S,S
R,R
P,S
R,R
P,S
R,P
S,R
P,S
R,P
S,S
R,P
S,R
P,P
S,P
S,P
S,R
P,R
P,R
P,S
R,P
S,P
S,S
R,P
S,S
R,S
R,P
S,P
S,P
S,P
S,R
P,R
P,R
P,S
R,P
S,P
S,P
S,S
R,R
P,R
P,P
S,R
P,R
P,P
S,R
P,P
S,R
P,S
R,R
P,S
R,S
R,P
S,S
R,S
R,R
P,R
P,S
R,S
R,S
R,S
R,P
S,S
R,P
S,S
R,P
S,S
R,S
R,R
P,R
P,S
R,P
S,R
P,P
S,P
S,R
P,R
P,P
S,R
P,S
R,S
R,S
R,P
S,R
P,P
S,P
S,S
R,P
S,S
R,P
S,R
P,R
P,R
P,P
S,P
S,S
R,S
R,P
S,R
P,S
R,P
S,P
S,S
R,P
S,S
R,P
S,R
P,P
S,P
S,S
R,S
R,P
S,R
P,S
R,R
P,R
P,R
P,P
S,P
S,P
S,R
P,R
P,R
P,R
P,P
S,P
S,P
S,R
P,S
R,P
S,P
S,S
R,S
R,P
S,P
S,P
S,S
R,S
R,R
P,P
S,S
R,P
S,P
S,R
P,P
S,R
